gene,beta_age,z_age,s2_resid,p_npml,q_npml,region,rank
201667_at,0.4453593960141572,5.633389056348441,1.1781300876615608,2.038516969727796e-7,0.0026488416628029196,dlpfc,1
203540_at,0.43446148790009953,5.495540485382461,1.1138313033740468,2.3780954911369749e-7,0.0026488416628029196,dlpfc,2
218901_at,0.25072607729179175,3.1714555763225754,0.4968056787383068,1.0413044069403696e-5,0.07732379424470205,dlpfc,3
209074_s_at,0.27780875670283434,3.514026702420274,0.6695028790368656,2.2003987340332352e-5,0.11069379006991582,dlpfc,4
215001_s_at,0.2807540290019549,3.5512817034067234,0.6962537730573538,2.6654217840488208e-5,0.11069379006991582,dlpfc,5
209291_at,0.2547918118158397,3.2228833997361446,0.5896331455495981,2.9813832222448934e-5,0.11069379006991582,dlpfc,6
217941_s_at,0.2595006771690475,3.2824462399635816,0.625355355295287,3.683678256758109e-5,0.117230429322572,dlpfc,7
209047_at,0.19918185169518002,2.519468262273233,0.3833889912277037,5.068610610110841e-5,0.11829161319552775,dlpfc,8
215978_x_at,0.20516118212229728,2.5951013237823766,0.4033409203913129,5.1446776159720616e-5,0.11829161319552775,dlpfc,9
211600_at,0.19232861702506657,2.4327811113189113,0.3720512219078833,6.013543635312286e-5,0.11829161319552775,dlpfc,10
202975_s_at,0.23169913689482272,2.9307821813805,0.5252183569515119,6.605025169388587e-5,0.11829161319552775,dlpfc,11
201876_at,0.23802068436723134,3.010743975538138,0.5666927593763097,6.950820074711885e-5,0.11829161319552775,dlpfc,12
205856_at,0.19632218590187706,2.4832961052939857,0.38736348709446755,7.200462130265992e-5,0.11829161319552775,dlpfc,13
213979_s_at,0.23870938385098786,3.019455394157862,0.5762406262556898,7.434046706187496e-5,0.11829161319552775,dlpfc,14
201061_s_at,0.18980318530073362,2.400836709638521,0.3771193353722134,8.845221168505399e-5,0.12805528081906825,dlpfc,15
201306_s_at,0.20029308703998738,2.5335243731052732,0.41404784938709194,9.197308852651128e-5,0.12805528081906825,dlpfc,16
216187_x_at,0.181650832426413,2.297716901508934,0.3623553923052621,1.0106704187634052e-4,0.13214600756199807,dlpfc,17
202935_s_at,0.22448365762354913,2.8395129675121358,0.5236138288879978,1.0677506558854269e-4,0.13214600756199807,dlpfc,18
207547_s_at,0.259677259146594,3.2846798404865787,0.7151679567485317,1.1951005839559192e-4,0.13512881408144772,dlpfc,19
212119_at,0.1758977223743697,2.2249453208547365,0.3562410261317004,1.320198420593782e-4,0.13512881408144772,dlpfc,20
