gene,beta_age,z_age,s2_resid,p_npml,q_npml,region,rank
201667_at,0.48106224875644965,4.056176287844445,1.3746923601329097,1.7158463530447834e-4,0.9999951219881592,cb,1
203540_at,0.4460391674407246,3.760871901920757,1.066453852828528,2.4302213445100436e-4,0.9999951219881592,cb,2
206826_at,0.38873022447323435,3.2776596437419823,0.8647051389726202,5.177764336064638e-4,0.9999951219881592,cb,3
213812_s_at,0.38386850113310356,3.236667013409266,0.9379556966036072,9.128265604292414e-4,0.9999951219881592,cb,4
203295_s_at,0.356217613692236,3.0035228116652517,0.8388897052843296,0.0011943606717852134,0.9999951219881592,cb,5
221795_at,0.2827714643416424,2.3842463454709892,0.5526539230497235,0.0014829043575911376,0.9999951219881592,cb,6
202935_s_at,0.24567952362929893,2.0714979417530546,0.4297470467213746,0.003038874614176726,0.9999951219881592,cb,7
211600_at,0.321745631120191,2.7128651292859685,0.8444953973347797,0.0033443119370677177,0.9999951219881592,cb,8
218723_s_at,0.3538521301811231,2.9835777460279753,1.113719788654847,0.0037341142995554496,0.9999951219881592,cb,9
203381_s_at,0.34135917803827076,2.878240824708531,1.0438503402249062,0.004367957947044763,0.9999951219881592,cb,10
200648_s_at,0.33485954212711466,2.8234377942678677,1.0688289509396323,0.005476038080034296,0.9999951219881592,cb,11
209047_at,0.29939931764470407,2.5244475449207107,0.8346303718844084,0.0058989226878587535,0.9999951219881592,cb,12
203296_s_at,0.3409371797896873,2.874682658808295,1.3015771939125147,0.006640156208328024,0.9999951219881592,cb,13
221008_s_at,0.2942890579172116,2.4813593284061874,0.8521531768938865,0.0072772686109136755,0.9999951219881592,cb,14
212226_s_at,0.2673344679987997,2.2540861038738966,0.7041305072135611,0.007643806833910407,0.9999951219881592,cb,15
214279_s_at,0.3274254761803781,2.7607559228606378,1.1543729964744132,0.007682879195201614,0.9999951219881592,cb,16
221796_at,0.28988357354687216,2.4442135717278517,0.8437134445646509,0.00788737554366345,0.9999951219881592,cb,17
203382_s_at,0.29895743642194994,2.5207217315932002,0.9097745471256523,0.008122639322051862,0.9999951219881592,cb,18
210906_x_at,0.2370673158777065,1.998882322967127,0.5766155570197334,0.008265221529921287,0.9999951219881592,cb,19
211962_s_at,0.24725574422377053,2.0847881731445943,0.639691360713947,0.009061923550025655,0.9999951219881592,cb,20
